"Início dos relatórios","Término dos relatórios","Nome da campanha","Veiculação da campanha",Alcance,Frequência,"Custo por 1.000 contas da Central de Contas alcançadas (BRL)",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios",Objetivo,"Reproduções de 100% do vídeo","Reproduções de 50% do vídeo","Reproduções de 75% do vídeo","Tempo médio de reprodução do vídeo","Novos contatos de mensagem","Total de contatos de mensagem","Custo por resultados","Indicador de resultados","ROAS de resultados","Indicador de ROAS do resultado",Resultados,"Valor usado (BRL)",Visualizações,ThruPlays,"Reproduções de vídeo","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Cliques no link","Custo por clique único (todos) (BRL)",onsite_conversion_returning_messaging_connection,"Contatos por mensagem","Conversas por mensagem iniciadas","Novos contatos de mensagem","Custo por contato por mensagem (BRL)","Custo por conversa por mensagem iniciada (BRL)"
2026-02-01,2026-02-28,,0,1765748,2.051848,10.147643,3623047,4.945611,0,0,Multiple,,,,00:00:00,,,,,,,,17918.18,3570322,,,79676,2.199143,0.224888,,0.295548,,,,,,
2026-02-01,2026-02-28,"RECONHECIMENTO DE MARCA",active,507091,1.204462,2.759485,610772,2.291051,100,Diário,Engajamento,6933,36502,16862,9,4,9,0.00419642,actions:post_engagement,,,333453,1399.31,627294,105462,593692,5811,0.951419,0.240804,13,0.247622,,9,11,4,155.478889,127.21
2026-02-01,2026-02-28,"DayUse Conversa WPP",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"VendaCota Wpp",active,111441,2.360989,25.288897,263111,10.711145,101,Diário,Engajamento,151,450,293,3,518,646,4.76856176,actions:onsite_conversion.messaging_conversation_started_7d,,,591,2818.22,264452,543,9353,5628,2.139021,0.50075,2338,0.602957,,619,591,517,4.552859,4.768562
2026-02-01,2026-02-28,"Excursão WPP 5326",inactive,0,0,0,0,0,20,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"[DS]EXCURSÕES AQUATUR GERAL 031125",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"G3 - ✅ [META] [LEADS] 041125",inactive,0,0,0,0,0,150,Diário,Engajamento,,,,00:00:00,,1,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"G3 - ✅ [WPP] [LEADS] 041125",inactive,0,0,0,0,0,150,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"G3 - ✅ [WPP] [ENGAJ] 051125",active,113364,2.235251,25.127907,253397,11.241648,102,Diário,Engajamento,3910,11619,7253,5,436,548,5.65198413,actions:onsite_conversion.messaging_conversation_started_7d,,,504,2848.6,249900,13501,172116,4700,1.854797,0.606085,1527,0.70128,,521,504,428,5.467562,5.651984
2026-02-01,2026-02-28,"[DS] CAMPANHA TESTE 1-2. 131125",inactive,0,0,0,0,0,40,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"[DS] RECONHECIMENTO 181125",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"G3 - ✅ [WPP] [ENGAJ] [BLACK]",active,198845,1.860223,21.065554,369896,11.32421,150,Diário,Engajamento,5740,15535,10807,5,798,907,4.85374276,actions:onsite_conversion.messaging_conversation_started_7d,,,863,4188.78,368809,18114,287595,5162,1.395527,0.811465,2009,0.905486,,855,863,789,4.899158,4.853743
2026-02-01,2026-02-28,"COLONIA DE FÉRIAS [DS] 071225",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"RETORNO DE MENSAGEM - COLONIA DE FÉRIAS [DS] 071225",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"RETORNO 2026 04-01-26 [DS]",active,35334,2.474387,33.024849,87430,13.346677,51,Diário,Vendas,262,525,370,3,178,233,5.63719807,actions:onsite_conversion.messaging_conversation_started_7d,,,207,1166.9,87784,263,1682,2319,2.652408,0.503191,1148,0.681999,,208,207,175,5.610096,5.637198
2026-02-01,2026-02-28,"Campanha Eventos",active,526830,2.361266,7.968624,1243986,3.374724,253.85,Diário,Tráfego,10216,28548,16437,5,31,62,0.11863424,actions:link_click,,,35387,4198.11,1175775,33729,551826,45205,3.633883,0.092868,35387,0.121932,,62,64,31,67.711452,65.595469
2026-02-01,2026-02-28,"Teste ads Facebook",inactive,2827,1.061196,8.365759,3000,7.883333,100,Total,Engajamento,73,191,128,8,,,0.11707921,actions:link_click,,,202,23.65,3006,409,2878,212,7.066667,0.111557,202,0.113702,,,,,,
2026-02-01,2026-02-28,"Teste ads Facebook — Cópia",inactive,1290,1.151938,21.124031,1486,18.33782,100,Total,Engajamento,38,116,81,8,2,3,9.08333333,actions:onsite_conversion.messaging_conversation_started_7d,,,3,27.25,1476,215,1407,48,3.230148,0.567708,17,0.605556,,3,3,2,9.083333,9.083333
2026-02-01,2026-02-28,"Campanha Carnaval Site",completed,113566,1.683312,4.977194,191167,2.956786,"Usando o orçamento do conjunto de anúncios",0,Tráfego,2,2,2,4,35,52,0.07673636,actions:omni_landing_page_view,,,7366,565.24,191241,112,2393,9525,4.982555,0.059343,5555,0.070382,,51,52,35,11.083137,10.87
2026-02-01,2026-02-28,"Campanha Carnaval RecMarca",completed,444374,1.285998,1.213505,571464,0.943629,"Usando o orçamento do conjunto de anúncios",0,Reconhecimento,,,,1,4,4,1.21350484,reach,,,444374,539.25,572775,,489,849,0.148566,0.635159,699,0.635159,,4,4,4,134.8125,134.8125
2026-02-01,2026-02-28,"Post do Instagram: ⏳ Últimas unidades...",archived,0,0,0,0,0,360,Total,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Post do Instagram: ⏳ Últimas unidades...",archived,16337,1.029014,4.442064,16811,4.316816,270,Total,Tráfego,132,335,244,3,,,0.63657895,actions:link_click,,,114,72.57,17335,459,15669,111,0.660282,0.653784,114,0.678224,,,,,,
2026-02-01,2026-02-28,"Parceria Aquatur",inactive,3137,1.148231,12.355754,3602,10.760689,"Usando o orçamento do conjunto de anúncios",0,Engajamento,50,129,82,3,4,6,6.46,actions:onsite_conversion.messaging_conversation_started_7d,,,6,38.76,3560,140,3111,41,1.138257,0.945366,21,1.02,,6,6,4,6.46,6.46
2026-02-01,2026-02-28,"Post do Instagram: Ter o Aquabeat como destino...",archived,1337,1.053104,6.701571,1408,6.363636,219,Total,Tráfego,6,24,11,3,,,2.24,actions:link_click,,,4,8.96,1403,42,1284,4,0.284091,2.24,4,2.24,,,,,,
2026-02-01,2026-02-28,"Campanha Eventos — Conversa Wpp",inactive,4327,1.013173,3.374162,4384,3.330292,300,Diário,Engajamento,6,12,7,1,,,0.33181818,actions:link_click,,,44,14.6,4381,8,426,53,1.208942,0.275472,44,0.275472,,,,,,
2026-02-01,2026-02-28,"Campanha Eventos — Conversa Wpp 2",inactive,1117,1.014324,7.144136,1133,7.043248,300,Diário,Engajamento,9,17,9,2,,,,,,,,7.98,1131,9,255,8,0.70609,0.9975,6,0.9975,,,,,,
2026-02-01,2026-02-28,"TRAFEGO WPP JAN25",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Publicação do Instagram: ☀️ @leandromantega te...",inactive,0,0,0,0,0,30,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"TRAFEGO WPP JAN25 — AB",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"TRAFEGO WPP JAN25 — PUBANT",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"TRAFEGO WPP JAN25[Antiga] #Teste -01",inactive,0,0,0,0,0,15,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"TRAFEGO WPP [ Antiga] #Teste -04-Feito-ok",inactive,0,0,0,0,0,15,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"TRAFEGO WPP JAN25 — AB[Antiga] Teste-#03-ok",inactive,0,0,0,0,0,15,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"TRAFEGO WPP JAN25[Antiga] #Teste -01 — Cópia",inactive,0,0,0,0,0,20,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"TRAFEGO WPP JAN25 — AB[Antiga] Teste-#03-copia",inactive,0,0,0,0,0,15,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"LeadsWPP 070425",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"LeadsTRAFEGO 070425",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"LeadsENG 070425",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Teste - LeadsENG 070425",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"[Teste Criativos Gênesis 04#]",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"[Teste Criativos Gênesis 05#[Região norte]",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"[Teste Criativos Gênesis 05#[aberto— Cópia",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"LeadsWPP 070425 — Cópia",inactive,0,0,0,0,0,100,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"MSG[OC] 2704 SJL+80KM Campanha",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"WPP[OC] 2704 SJL+80KM",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"TFG MSG[OC]",inactive,0,0,0,0,0,20,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Chamada K10 Final - Sympla",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"DayUse Aquabeat Misto",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Excursão Auto [wpp face insta]",inactive,0,0,0,0,0,80,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"MSG[META] SJL+80KM [PFX]",inactive,0,0,0,0,0,200,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"[DS] CAMPANHA DE DEZEMBRO 071125",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Camp. VENDA - WPP - R$70D",inactive,0,0,0,0,0,70,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Aquabeat - Cliques no link — CAQBT 1108",inactive,0,0,0,0,0,30,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Site Esmeralda - R$50D - 45KM",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Camp. VENDA - WPP - R$50D",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"CAMP. VENDA - WPP - OBRAS - MG",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Campanha Chamada Consultor",inactive,0,0,0,0,0,20,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Campanha Evento",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Campanha Evento",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"CAMP. VENDA - WPP - R$50D - BH160KM",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"CAMP. VENDA - LWPP - R$100D - BH160KM",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Site Cristal - R$50D - 45KM LWPP",inactive,0,0,0,0,0,100,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Black Friday Site",inactive,0,0,0,0,0,70,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Black Friday Wpp",inactive,0,0,0,0,0,25,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Site Esmeralda - R$50D - 45KM - RMKT",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Campanha Sócio Cristal WPP",inactive,0,0,0,0,0,120,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"[Gabriel] Safira - Mensagem Iniciada - AGO24",inactive,0,0,0,0,0,100,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"[Gabriel] Safira - Conversão em LP - AGO24",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"[Gabriel] Vagas - AGO24",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"[Gabriel] Vagas - AGO24 — CONV",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Campanha SAFIRA G3",inactive,0,0,0,0,0,250,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Campanha SAFIRA G3 — NOVA",inactive,0,0,0,0,0,350,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Teste AB — Black November",inactive,0,0,0,0,0,250,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Publicação do Instagram: 🚨 ATENÇÃO: ÚLTIMA CHANCE...",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Publicação do Instagram: 🎉 BLACK NOVEMBER DO...",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Publicação do Instagram: 🎄 O Fim de Ano Tá...",inactive,0,0,0,0,0,30,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Aquabeat ADS @G3",inactive,0,0,0,0,0,60,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Aquabeat - Cliques no link",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"[5/2/2022] Promovendo ""Enviar mensagem pelo WhatsApp""",inactive,0,0,0,0,0,70,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"[5/2/2022] Promovendo ""Enviar mensagem""",inactive,0,0,0,0,0,30,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Promoção contínua do site https://aquabeat.com.br/",inactive,0,0,0,0,0,60,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Aquabeat - Cliques no link — FB",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Aquabeat - Curtidas na Página",inactive,0,0,0,0,0,100,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Aquabeat - Alcance FB",permanently_deleted,0,0,0,0,0,100,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Aquabeat - Alcance FB",permanently_deleted,0,0,0,0,0,100,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Contato FB",inactive,0,0,0,0,0,40,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"[9/2/2022] Promovendo ""Enviar mensagem""",inactive,0,0,0,0,0,100,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Contato FB — PGV",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"""Enviar mensagem pelo WhatsApp"" @1002",inactive,0,0,0,0,0,100,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"G3 - ✅ [ENGAJAMENTO] [DIRECT] [LEADS ESMERALDA] @2102",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Aquabeat - Cliques no link — CAQBT",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"""Enviar mensagem pelo WhatsApp"" @1504",inactive,0,0,0,0,0,230,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"""Site Day Use"" @2010 Não Socio — Cópia",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"[00] [HW] [CONVERSÃO INGRESSOS] [19/06]",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"[01] [HW] [CONVERSÃO INGRESSOS] [20/06]",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Campanha Sócio Cristal WPP — Cópia",inactive,0,0,0,0,0,100,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"Campanha Sócio IG",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"[Gabriel] Diamante Premium - Mensagem Iniciada - OUT23",inactive,0,0,0,0,0,100,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"[Gabriel] Diamante Premium - Conversão em LP - NOV23",inactive,0,0,0,0,0,100,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"[Gabriel] Diamante Premium - Alcance - NOV23",inactive,0,0,0,0,0,50,Diário,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
2026-02-01,2026-02-28,"[Gabriel] Sócios Diamante Premium - Indique e Ganhe - MAI24",inactive,0,0,0,0,0,"Usando o orçamento do conjunto de anúncios",0,0,,,,00:00:00,,,,,,,,0,0,,,0,0,0,,0,,,,,,
